Compound,m/z,Retention time (min),kmd,pass_relfil,pass_blnkfil,average CV,median CV,pass_cvfil,pass_insource,groups,fc,max,logmax,-logp,-logq,logfc
0.82_775.2791m/z,775.2790532,0.8242,0.2790532000000212,True,True,0.4849463552178343,0.14862476760959806,True,True, 0um_Ce Media,0.03314837048989816,51.49670768777778,1.7117794644055362,6.0151006729331336,4.990832098206197,-4.914918237805627
2.04_449.7472m/z,449.747183,2.0403,0.7471830000000068,True,True,0.4608418626559482,0.23532543368566106,False,True, Media cv,0.01,8.326534497333334,0.9204642856994344,1.4279529801255848,,-6.643856189774724
0.73_816.7244m/z,816.7244159,0.73135,0.7244159000000536,True,True,0.5822053726428718,0.2906072804970295,False,True, 0um_Ce 250um_Ce Media cv,13.274347671160527,10.836634602444443,1.0348944297562814,3.8244032220458974,,3.730569060647078
2.07_239.1266m/z,239.1265914,2.068866667,0.12659139999999525,True,True,0.29843961793637797,0.3089280290021141,False,True, 0um_Ce 250um_Ce Media cv,0.4229273012500851,20.33411198888889,1.3082252110781356,2.284642074885104,,-1.241518401139724
1.21_209.6329m/z,209.6328779,1.20815,0.6328779000000111,True,True,0.44856980946102,0.3826972733154891,False,True, Media cv,0.01,4.574146621222223,0.6603100815140991,1.4557044602356943,,-6.643856189774724
3.60_399.0741m/z,399.0741138,3.5987,0.07411380000002055,True,True,0.5852820793270693,0.5949188155583699,False,True, 0um_Ce 250um_Ce cv,100.0,34.947935441111106,1.5434215247736396,0.5799445009275331,,6.643856189774724
3.14_262.6072m/z,262.6071942,3.143783333,0.6071941999999808,True,True,0.6660813778182593,0.21753528884042025,False,True, 0um_Ce 250um_Ce cv,100.0,18.023639858888885,1.2558425009050838,0.4840588639660584,,6.643856189774724
2.89_161.0420m/z,161.0420449,2.894283333,0.0420449000000076,True,True,0.2857330561853866,0.11918537698316292,True,True, 0um_Ce,100.0,53.62925213522222,1.7294017407294149,1.2425116694580456,1.1156805791720408,6.643856189774724
2.33_213.0754m/z,213.0754346,2.3324,0.07543459999999412,True,True,0.4661421897090817,0.2502286832209357,False,True, 0um_Ce 250um_Ce Media cv,6.525616682709054,14.18682161,1.1518851078004504,1.7325844224515092,,2.706114245444422
3.19_199.5312m/z,199.5312053,3.186616667,0.5312053000000105,True,True,0.3610798767844347,0.3177312465215951,False,False, 0um_Ce 250um_Ce cv insource,100.0,22.048493897777767,1.343378928759692,0.9621982903642702,,6.643856189774724
2.50_274.1639m/z,274.163941,2.4962,0.16394100000002254,True,True,0.696409138077347,0.4275924810329788,False,False, 0um_Ce 250um_Ce Media cv insource,0.01979004882995525,46.75197061888888,1.6697999213234525,5.623188644295113,,-5.659081017679983
2.65_762.3557m/z,762.3557308999997,2.6526,0.35573089999979857,True,True,0.25359565418609203,0.10843904932087804,True,False, 0um_Ce 250um_Ce insource,100.0,9373.143811538,3.9718852804294715,1.4195434300109218,,6.643856189774724
0.73_540.7993m/z,540.7993078,0.73135,0.7993077999999514,True,True,0.4100744464660389,0.15137190421905342,True,False, 0um_Ce 250um_Ce Media insource,11.68184917758732,26.033038018888888,1.4155248526213604,3.8784164389019535,,3.5461967585037724
3.72_342.0864m/z,342.0864495,3.719383333,0.08644950000001472,True,True,0.028276573002091937,0.027535909583416517,True,False, 0um_Ce 250um_Ce insource,100.0,1821.8896032,3.260522057503265,0.9565483507462006,,6.643856189774724
0.72_527.8835m/z,527.8834714,0.724216667,0.8834713999999622,True,True,0.26617882647859625,0.2767346084235182,False,True, 0um_Ce 250um_Ce Media cv,0.8708063455994383,11.664293718777778,1.0668584470882991,0.22129507277109955,,-0.1995761743485126
2.52_419.2232m/z,419.223234,2.524766667,0.22323399999999088,True,True,0.5010101559220235,0.5028370297217171,False,False, 0um_Ce 250um_Ce Media cv insource,0.023744961796175242,91.30733434222223,1.9605056640230447,5.829622062112727,,-5.396234754762423
2.61_724.3709m/z,724.3708666,2.60975,0.3708665999999994,True,True,0.9308474988861772,1.0043441301015381,False,True, 0um_Ce 250um_Ce cv,2.08689284619191,39.906553705111115,1.6010442241138017,0.18532321369831686,,1.0613565256360904
2.65_528.1980m/z,528.1980222,2.6526,0.1980221999999685,True,True,0.5067968830168867,0.20543217365411706,False,False, 0um_Ce 250um_Ce Media cv insource,37.53429932011875,242.58322951555562,2.384860773527232,1.3812623216807276,,5.230137646305055
3.42_249.5366m/z,249.5365821,3.420866667,0.536582100000004,True,True,0.2915473281874115,0.2259225532094375,False,False, 0um_Ce 250um_Ce cv insource,100.0,57.825524811111116,1.7621195830169814,1.0049703975018738,,6.643856189774724
2.24_412.1831m/z,412.1830589,2.239566667,0.1830588999999918,True,True,0.044602607965242916,0.03108218685038088,True,True, 0um_Ce 250um_Ce Media,9.700899530142154,2260.594924266667,3.35422274814079,0.96515041540489,0.8694189498823763,3.2781185295168354
0.72_969.7956m/z,969.7955867,0.7170833329999999,0.7955866999999444,True,True,0.3857372928036582,0.3700352437977655,False,True, 0um_Ce 250um_Ce Media cv,5.261944546675257,26.09787108333333,1.416605081496495,2.347653780180413,,2.395596044653905
