,,,,average
0.63_156.5933m/z,156.5932699,0.632083333,Media,107.94233188333334
0.63_166.1144m/z,166.1144282,0.632083333,0um_Ce,1.3050205884444444
0.63_166.1144m/z,166.1144282,0.632083333,250um_Ce,1.178600540111111
0.63_166.1144m/z,166.1144282,0.632083333,Blanks,0.0
0.63_166.1144m/z,166.1144282,0.632083333,Media,221.95687303333332
0.63_174.5051m/z,174.50509250000005,0.632083333,0um_Ce,0.0
0.63_174.5051m/z,174.50509250000005,0.632083333,250um_Ce,629.8597131222222
0.63_174.5051m/z,174.50509250000005,0.632083333,Blanks,0.0
0.63_174.5051m/z,174.50509250000005,0.632083333,Media,0.0
0.63_192.1185m/z,192.1184712,0.632083333,0um_Ce,0.07210888755555554
0.63_192.1185m/z,192.1184712,0.632083333,250um_Ce,0.12394927944444446
0.63_192.1185m/z,192.1184712,0.632083333,Blanks,0.0
0.63_192.1185m/z,192.1184712,0.632083333,Media,61.402325811111105
0.63_200.6172m/z,200.6172328,0.632083333,0um_Ce,0.0
0.63_200.6172m/z,200.6172328,0.632083333,250um_Ce,0.0
0.63_200.6172m/z,200.6172328,0.632083333,Blanks,0.0
0.63_200.6172m/z,200.6172328,0.632083333,Media,11.564138075777777
0.63_214.9373m/z,214.9372912,0.632083333,0um_Ce,0.5423761855555554
0.63_214.9373m/z,214.9372912,0.632083333,250um_Ce,30.758208653333337
0.63_214.9373m/z,214.9372912,0.632083333,Blanks,0.0
0.63_214.9373m/z,214.9372912,0.632083333,Media,0.0
0.63_221.1212m/z,221.1212063,0.632083333,0um_Ce,0.0
0.63_221.1212m/z,221.1212063,0.632083333,250um_Ce,0.1745232476666667
0.63_221.1212m/z,221.1212063,0.632083333,Blanks,0.0
0.63_221.1212m/z,221.1212063,0.632083333,Media,82.29480259222224
0.63_228.6148m/z,228.6147597,0.632083333,0um_Ce,4.928297248
0.63_228.6148m/z,228.6147597,0.632083333,250um_Ce,0.0
0.63_228.6148m/z,228.6147597,0.632083333,Blanks,0.0
0.63_228.6148m/z,228.6147597,0.632083333,Media,8.84779477611111
0.63_235.6279m/z,235.6279394,0.632083333,0um_Ce,1.689603766888889
0.63_235.6279m/z,235.6279394,0.632083333,250um_Ce,0.12102546077777777
0.63_235.6279m/z,235.6279394,0.632083333,Blanks,0.0
0.63_235.6279m/z,235.6279394,0.632083333,Media,226.25634452666668
0.63_245.1423m/z,245.1422976,0.632083333,0um_Ce,15.885932468666667
0.63_245.1423m/z,245.1422976,0.632083333,250um_Ce,2.930001695444444
0.63_245.1423m/z,245.1422976,0.632083333,Blanks,22.19531926
0.63_245.1423m/z,245.1422976,0.632083333,Media,115.14072526666666
0.63_265.4417m/z,265.4417242,0.632083333,0um_Ce,0.0
0.63_265.4417m/z,265.4417242,0.632083333,250um_Ce,76.85925567333334
0.63_265.4417m/z,265.4417242,0.632083333,Blanks,0.0
0.63_265.4417m/z,265.4417242,0.632083333,Media,0.0
0.63_268.1517m/z,268.15167,0.632083333,0um_Ce,0.0
0.63_268.1517m/z,268.15167,0.632083333,250um_Ce,0.0
0.63_268.1517m/z,268.15167,0.632083333,Blanks,0.0
0.63_268.1517m/z,268.15167,0.632083333,Media,17.914339950333332
0.63_269.1494m/z,269.1494412,0.632083333,0um_Ce,0.0
0.63_269.1494m/z,269.1494412,0.632083333,250um_Ce,0.0
0.63_269.1494m/z,269.1494412,0.632083333,Blanks,0.0
0.63_269.1494m/z,269.1494412,0.632083333,Media,29.699568266666663
0.63_270.1403n,293.1526664,0.632083333,0um_Ce,0.11238098144444443
0.63_270.1403n,293.1526664,0.632083333,250um_Ce,0.0
