,,,0um_Ce,0um_Ce,0um_Ce,250um_Ce,250um_Ce,250um_Ce,Media,Media,Media
,,,,,,,,,,,
Compound,m/z,Retention time (min),MB1112,MB1113,MB1114,MB1115,MB1116,MB1117,MB1109,MB1110,MB1111
0.65_218.9710m/z,218.9710189,0.653516667,0.45158827199999996,0.0,0.0,66.21843802666668,41.35565654,56.58881792333333,0.0,1.0154062906666665,0.0
0.65_239.9676m/z,239.9675899,0.653516667,20.54245759333333,22.20588051,22.752111959999997,18.730988919999998,18.233965216666668,20.655868046666665,31.03983008333334,31.536992030000004,50.47949152666666
0.65_251.1569m/z,251.1569496,0.646366667,0.0,0.0,0.0,0.0,0.0,0.0,42.00443441666667,54.69629773666666,50.94421695666667
0.65_269.6455m/z,269.6455275,0.646366667,138.29033793333335,195.63932223333336,202.2108747,45.20782681666666,28.884615573333335,54.161580773333334,19.210367656666666,23.397620973333332,15.864803657000001
0.65_303.1894m/z,303.1893624,0.653516667,0.0,0.0,0.49458014899999997,0.7849527993333334,0.0,0.0,70.84630223666666,82.13440328666667,66.55337821
0.65_316.9334m/z,316.9334283,0.646366667,0.0,0.0,0.0,46.784128806666665,17.619479273333333,39.12192277666667,0.0,0.0,0.0
0.66_133.5849m/z,133.5848727,0.66065,14.092536533333332,12.668314321666665,13.602167833333334,14.349398333333333,9.995032826666666,11.902037130000002,32.47982879333333,41.17187966666666,39.241524319999996
0.67_156.0776m/z,156.0776082,0.674933333,0.0,0.0,0.0,0.0,0.0,0.0,194.19808903333333,196.1782659666667,190.89175663333333
0.67_309.1674m/z,309.1673986,0.6677833329999999,26.16633201,42.51631511,31.906103183333332,6.236422474333334,7.261043016333335,6.3458514206666665,96.82332131666668,114.38587953333335,97.5683684
0.68_220.9353m/z,220.9353292,0.6820666670000001,23.749863469999998,25.902020359999998,30.780466943333334,20.484766813333334,18.490228133333332,20.976865336666666,13.73661419,14.417655876666666,18.791222506666667
0.68_288.9231m/z,288.9231356,0.6820666670000001,78.70859234666666,74.36253477333332,86.99080771000001,72.86532660666667,69.81671686333333,72.78131500666667,43.39953658333334,37.88125585,48.509332013333335
0.68_356.9108m/z,356.9107725,0.6820666670000001,32.190725130000004,31.32766042,34.19226772,23.998441693333334,23.249710426666667,26.44451277,31.731791696666665,25.61201418966667,28.93115798133333
0.68_424.8982m/z,424.8981988,0.6820666670000001,42.087726573333335,43.95221307333333,45.90516901,33.794979903333335,32.08109236666667,32.93463761,45.74077708000001,39.59963964,43.22613866333334
0.68_433.8661m/z,433.8661428,0.6820666670000001,0.0,0.0,0.0,31.604006116666667,10.766958473,26.25347122333333,0.0,0.0,0.0
0.68_560.8734m/z,560.8734429,0.6820666670000001,39.577330276666665,36.56399678,44.54591459666667,36.52015843666667,34.21909216,39.94920875666667,14.284508063333334,15.393145200000001,21.47570116
0.70_472.9037m/z,472.9037067,0.69565,32.33162589666667,33.36684829,34.816283680000005,27.432886753333335,28.345013346666665,26.298654533333334,19.775750526666666,15.182390663333335,14.916290290000001
0.70_492.8853m/z,492.8853025,0.69565,36.77664680666667,38.618170543333335,43.22046974,34.685907730000004,31.11110341,33.2466036,17.258138906000003,12.010908483,17.435178009999998
0.70_635.3807m/z,635.3806561000001,0.7028,34.04493347,28.77856712666667,30.41547507333333,26.326821343333332,26.687571786666666,30.77236499,7.191222825,7.917435338,5.462835561666668
0.70_696.8473m/z,696.847305,0.69565,29.317523543333333,28.350369600000004,30.657953266666667,27.724173609999998,24.317199576666667,26.864510839999998,8.853020931666668,5.4650065103333345,10.231468255333334
0.71_1016.7984m/z,1016.798397,0.7099333329999999,72.55810020666667,65.05813644999999,69.1960068,76.65529979666667,72.59316840666666,72.80538443666666,21.23134411666667,22.956369613333333,22.537234193333333
0.71_1058.7819m/z,1058.781919,0.7099333329999999,43.33668723333333,40.64506718333333,42.27934222,37.84559273333334,41.41917209666667,37.22480863333333,24.140115776666665,26.55123764,25.497542503333335
0.71_1110.7906m/z,1110.790594,0.7099333329999999,120.373206263,96.482002495,106.58665927166665,88.59629256333334,84.28514219566667,96.832344558,26.74114561,29.13069463333333,25.602558166666665
