Compound,m/z,Retention time (min),kmd,pass_relfil,pass_blnkfil,average CV,median CV,pass_cvfil,pass_insource,groups,fc,max,logmax,-logp,p,qval,-logq
2.40_519.2532m/z,519.2531911,2.403233333,0.2531910999999809,True,True,0.10200965517219268,0.07105415194440252,True,True, 0um_Ce 250um_Ce Media,1.6764836235786755,241.6116548444444,2.3831178799182418,0.4516400086196612,0.3534760484992123,0.3785773744112635,0.4218453451053482
0.77_360.1508m/z,360.150763,0.767066667,0.15076299999998355,True,True,0.20060415104513776,0.18243850943380088,True,True, 0um_Ce 250um_Ce Media,1.7006455940143999,30.39751211788889,1.4828380402637895,0.4561571209745988,0.3498185852202473,0.37509685128511366,0.42585658147774896
2.45_179.0707m/z,179.0707385,2.45335,0.07073850000000448,True,True,0.0627279404494621,0.06263830469840452,True,True, 0um_Ce 250um_Ce Media,0.9431492185904098,75.60028833555555,1.8785234518808616,0.4606835426684429,0.34619154531207896,0.37164086544587244,0.42987653724608577
4.12_1796.3994m/z,1796.3993510000007,4.118116667,0.3993510000007064,True,True,0.6080413788425403,0.09202343343036523,True,True, 250um_Ce,100.0,499.78315033333337,2.698781610252599,0.4745710146428563,0.3352964732078312,0.36036536840094,0.44325695197445425
0.81_166.0540m/z,166.0539664,0.809916667,0.0539664000000073,True,True,0.18012290917399593,0.181762396667266,True,True, 0um_Ce 250um_Ce Media,0.8452204006444293,100.04707584222223,2.00020439967742,0.4824381997701402,0.3292773062552535,0.3543100839237815,0.4506164871527576
0.85_338.1394m/z,338.13944039999996,0.85275,0.13944040000001226,True,True,0.05594405902364211,0.05168727525761006,True,True, 0um_Ce 250um_Ce Media,0.9046806489652868,121.10219325555555,2.083152008627443,0.4936699251313415,0.3208707097129946,0.3456686802528747,0.4613399684747913
0.94_165.5441m/z,165.5440594,0.93775,0.544059400000009,True,True,0.011699632182297477,0.011324468868178807,True,True, 0um_Ce 250um_Ce Media,1.03843571279339,1819.8455296666666,3.260034526193618,0.5071109350424848,0.3110921589961145,0.33552729926896285,0.4742721388644526
3.86_608.1445m/z,608.1444556,3.8622166669999998,0.14445560000001478,True,True,0.2848063538453981,0.1774745215533321,True,True, 0um_Ce 250um_Ce,100.0,38.84314029666667,1.5893143334497477,0.5125986069729905,0.30718598174032463,0.33170317277124256,0.47925037439413537
4.30_212.0916m/z,212.09162220000002,4.303183333,0.0916221999999891,True,True,0.05915193604041957,0.05915193604041957,True,True, 0um_Ce,100.0,12.918566463333335,1.1112143239063201,0.534531510414005,0.292057584894271,0.3157379296154281,0.5006732431530377
0.77_927.2326m/z,927.2325563999999,0.767066667,0.2325564000000213,True,True,0.10764122112692978,0.07149379199776829,True,True, 0um_Ce 250um_Ce Media,0.8564385072843055,245.6509872111111,2.390318513797429,0.534835921166524,0.2918529442141578,0.3157379296154281,0.5006732431530377
