Compound,m/z,Retention time (min),kmd,pass_relfil,pass_blnkfil,average CV,median CV,pass_insource,groups,fc,-logp,logfc,hits
4.00_450.1456m/z,450.1455531,4.004566667,0.1455531000000292,True,True,0.5498745710099414,0.1740894048390065,True, 0um_Ce 250um_Ce cv,55.05113946400961,2.307148967140112,5.782700520294862,
0.73_255.9792m/z,255.9791627,0.73135,0.9791626999999892,True,True,0.08467931452980962,0.08924627058932902,False, Media insource,,,,
2.06_341.5516m/z,341.55162189999993,2.0617333330000003,0.5516218999999296,False,True,,,True, relfil,,,,
4.61_421.5830m/z,421.5830055,4.60885,0.5830054999999561,True,True,0.1551352676174043,0.132198842638523,True, 250um_Ce,100.0,3.1043466406582256,6.6438561897747235,0
1.21_287.5791m/z,287.5790623000001,1.20815,0.5790623000000323,False,True,,,True, relfil,,,,
2.96_393.2127m/z,393.2127055,2.958566667,0.2127055000000269,True,True,0.13084638395882972,0.13937794904507636,True, Media,,,,0
2.42_361.6947m/z,361.6946795,2.41765,0.6946795000000066,True,True,0.10291679489832543,0.09509149321164886,False, Media insource,,,,
2.59_199.0593m/z,199.0593074,2.588333333,0.05930739999999447,True,True,0.5306706740889304,0.2686039455309374,True, 0um_Ce 250um_Ce Media cv,0.9859474625564192,0.02050076493008712,-0.020417322045543067,
3.15_604.7895m/z,604.7894784,3.150916667,0.7894784000000072,True,True,0.30053069721586123,0.3323794187421529,True, Media cv,,,,
3.63_273.0690m/z,273.0689896,3.62725,0.06898960000000898,True,True,0.2359590058968944,0.2418978480798729,False, 250um_Ce insource,100.0,2.481035041350209,6.6438561897747235,
1.21_384.1866m/z,384.1866418,1.20815,0.18664180000001807,True,True,0.6065495964941408,0.2718247124498572,False, Media cv insource,0.01,,-6.6438561897747235,
1.96_411.7079m/z,411.7078778,1.955316667,0.7078778000000057,True,True,0.13777826387028724,0.1600530345859724,False, Media insource,,,,
2.38_378.8800m/z,378.8800175,2.3818,0.8800175000000081,True,True,0.24778071099871635,0.2825496117179597,False, Media insource,,,,
2.07_202.1180m/z,202.1180407,2.068866667,0.11804069999999454,False,True,,,True, relfil,,,,
1.25_153.9919m/z,153.99194350000005,1.251,0.9919435000000192,True,True,0.09040951901599464,0.09742336329900964,True, 250um_Ce,100.0,3.3702995204725785,6.6438561897747235,0
2.83_340.1881m/z,340.1881075,2.830716667,0.18810750000000093,True,True,0.15901430018192467,0.12446910996893175,True, 0um_Ce 250um_Ce Media,0.9244126478199266,0.2572708643949456,-0.113391095983746,3
1.20_259.6479m/z,259.6479183,1.200716667,0.6479183000000148,True,True,0.16581440540719253,0.1603488786063985,False, Media insource,,,,
2.60_261.6505m/z,261.650488,2.595483333,0.6504879999999957,True,True,0.06111136550595962,0.037242663221917036,False, 0um_Ce 250um_Ce Media insource,1.9837145090607,3.111825884607811,0.9882044118140004,
2.04_424.6608m/z,424.6607674,2.0403,0.6607673999999406,True,True,0.3688370024067025,0.2365789092888481,True, 250um_Ce Media cv,100.0,2.9716608103530784,6.6438561897747235,
2.13_320.6795m/z,320.6795274,2.13315,0.6795273999999836,True,True,0.3893778070050337,0.37809602357812816,False, Media cv insource,,,,
1.93_357.6978m/z,357.6977748,1.9339,0.6977747999999906,True,True,0.383120279334286,0.27284123213565065,True, Media cv,,,,
4.65_227.1647m/z,227.1646902,4.6517,0.16469019999996706,True,True,0.18916955857002235,0.12496280885629694,True, 0um_Ce 250um_Ce,0.9964944723932684,0.004152890169450133,-0.005066292505354729,20
1.21_223.0594m/z,223.0594168,1.20815,0.05941680000000815,False,True,,,True, relfil,,,,
0.84_196.0613m/z,196.0613444,0.838483333,0.06134440000002427,True,True,0.14067827894837526,0.1447501259776144,True, 0um_Ce 250um_Ce Media,0.9940223323563759,0.01841634029508485,-0.008649830204561155,3
2.28_515.7720m/z,515.7720163,2.2824,0.7720163000000184,True,True,0.3149154985884941,0.2737469067916519,False, Media cv insource,,,,
2.52_557.7821m/z,557.7820836,2.524766667,0.7820835999999645,True,True,0.3561015827085365,0.3994680142184048,False, Media cv insource,,,,
4.40_139.5377m/z,139.5376771,4.395316667,0.5376770999999962,True,True,0.12955037776179998,0.13329796387328907,False, 250um_Ce insource,100.0,2.4127239792900093,6.6438561897747235,
2.57_447.7526m/z,447.7526089,2.566916667,0.7526088999999843,True,True,0.17252458884557542,0.2048128307052991,False, Media insource,,,,
1.22_258.5610m/z,258.5610255,1.215283333,0.5610254999999711,True,True,0.36694215839767,0.24587013784277584,True, 0um_Ce cv,0.01,,-6.6438561897747235,
